dateTime,open,high,low,close,volume
1674297000000,22788.70000000,22857.29000000,22595.23000000,22777.52000000,18848.83711000
1674298800000,22778.51000000,22840.00000000,22652.61000000,22824.62000000,8323.25232000
1674300600000,22825.85000000,22953.93000000,22811.84000000,22905.65000000,8556.10325000
1674302400000,22907.01000000,23087.63000000,22888.00000000,22991.82000000,8848.74056000
1674304200000,22993.58000000,23072.61000000,22907.01000000,23039.50000000,7631.17368000
1674306000000,23041.12000000,23050.00000000,22917.85000000,22970.25000000,6197.69508000
1674307800000,22970.24000000,22977.00000000,22851.94000000,22930.04000000,6806.51606000
1674309600000,22930.87000000,22971.97000000,22875.54000000,22933.31000000,4951.07409000
1674311400000,22931.97000000,23018.92000000,22915.00000000,22955.26000000,5532.69206000
1674313200000,22955.80000000,23230.94000000,22954.67000000,23219.99000000,9186.81974000
1674315000000,23220.00000000,23280.00000000,22930.92000000,22998.90000000,11340.04708000
1674316800000,22998.90000000,23185.25000000,22980.00000000,23113.89000000,10334.43812000
1674318600000,23113.89000000,23269.73000000,23112.10000000,23197.45000000,8628.57241000
1674320400000,23196.43000000,23326.54000000,23126.06000000,23224.56000000,11163.90664000
1674322200000,23224.56000000,23371.80000000,23130.00000000,23226.65000000,10784.73869000
1674324000000,23225.17000000,23254.12000000,23053.24000000,23125.04000000,7594.69010000
1674325800000,23125.04000000,23269.99000000,23120.15000000,23248.52000000,4889.85111000
1674327600000,23247.40000000,23280.31000000,23203.35000000,23228.16000000,4152.90744000
1674329400000,23227.23000000,23308.06000000,23174.08000000,23270.50000000,4659.64838000
1674331200000,23270.97000000,23299.55000000,23154.28000000,23188.94000000,4283.58791000
1674333000000,23188.94000000,23230.00000000,23080.00000000,23093.38000000,5561.56225000
1674334800000,23093.38000000,23170.96000000,23009.11000000,23161.76000000,4983.76766000
1674336600000,23161.76000000,23220.00000000,23149.26000000,23204.64000000,3135.99255000
1674338400000,23203.41000000,23210.91000000,23045.15000000,23066.19000000,4176.78469000
1674340200000,23066.17000000,23101.86000000,22737.36000000,22759.71000000,4377.80745000
1674342000000,22757.14000000,22964.60000000,22680.73000000,22809.60000000,10530.91738000
1674343800000,22809.64000000,22897.99000000,22718.71000000,22783.55000000,6623.92125000
1674345600000,22783.35000000,22979.88000000,22700.06000000,22924.81000000,7582.39854000
1674347400000,22924.81000000,22949.07000000,22826.74000000,22877.48000000,5285.73073000
1674349200000,22877.48000000,22877.91000000,22760.80000000,22788.62000000,4655.86798000
1674351000000,22787.90000000,22891.76000000,22688.78000000,22792.13000000,7028.67481000
1674352800000,22793.12000000,22825.00000000,22708.60000000,22792.37000000,4273.35651000
1674354600000,22792.37000000,22833.26000000,22602.55000000,22707.64000000,6583.90338000
1674356400000,22706.90000000,22766.12000000,22668.48000000,22760.98000000,4532.78959000
1674358200000,22759.96000000,22774.18000000,22704.82000000,22758.30000000,3150.94415000
1674360000000,22759.08000000,22791.59000000,22716.72000000,22789.74000000,2861.96608000
1674361800000,22790.43000000,22868.98000000,22770.00000000,22847.79000000,5132.66384000
1674363600000,22847.31000000,22891.97000000,22835.18000000,22857.38000000,3948.40931000
1674365400000,22858.32000000,22895.40000000,22832.56000000,22878.37000000,3375.28597000
1674367200000,22878.37000000,22943.36000000,22862.70000000,22921.08000000,3439.64062000
1674369000000,22921.08000000,22967.33000000,22913.13000000,22919.67000000,3817.24581000
1674370800000,22920.74000000,22959.68000000,22875.00000000,22913.75000000,3993.40084000
